Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Georgia,Land area (sq. km),,,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490
Ghana,Land area (sq. km),,,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540
Gibraltar,Land area (sq. km),,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Guinea,Land area (sq. km),,,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720
"Gambia, The",Land area (sq. km),,,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120
Guinea-Bissau,Land area (sq. km),,,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120
Equatorial Guinea,Land area (sq. km),,,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050
Greece,Land area (sq. km),,,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900
Grenada,Land area (sq. km),,,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340
Greenland,Land area (sq. km),,,341700,341700,341700,341700,341700,341700,341700,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450
Guatemala,Land area (sq. km),,,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160
Guam,Land area (sq. km),,,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540
Guyana,Land area (sq. km),,,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850
High income,Land area (sq. km),,,35180289.43,35180859.43,35180919.43,35180899.43,35180939.43,35180969.43,35180958.43,35249617.43,35249576.43,35249545.43,35251855.43,35251610.43,35252305.43,35252826.43,35252658.43,35252526.43,35251911.03,35251929.63,35236965.83,35237999.73,35239488.33,35239336.93,35234144.63,35235518.49,35236459.93,35235957.36,35246069.89,35246047.87,35250135.29,35250135.29,35250135.29,35250135.29
"Hong Kong SAR, China",Land area (sq. km),,,990,990,990,990,990,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050
Honduras,Land area (sq. km),,,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890
Heavily indebted poor countries (HIPC),Land area (sq. km),,,19960174.27,19960174.27,19960174.27,19859174.27,19859174.27,19859174.27,19859174.27,19859174.27,19859174.27,19859174.27,19859174.27,19859174.27,19859174.27,19859174.27,19988438.6,19988492.05,19988488.62,19988461.57,19988446.33,19988445.25,19989137.65,19357368.95,19357375.27,19357381.58,19357365.46,19357415.12,19357335.24,19357309.95,19357325.11,19357325.11,19357325.11,19357325.11
Croatia,Land area (sq. km),,,55910,55910,55910,55910,55910,55910,55980,55980,55910,55910,55910,55910,55910,55910,55960,55960,55960,55960,55960,55960,55960,55960,55960,55960,56590,56590,56590,56590,56590,56590,56590,56590
Haiti,Land area (sq. km),,,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560
Hungary,Land area (sq. km),,,89870,89870,89870,89860,89860,89860,89860,89800,89800,89800,89620,89620,89620,89620,89620,89610,89610,89610,89610,90530,90530,90530,90530,90530,91260,91260,91260,91260,91260,91260,91260,91260
IBRD only,Land area (sq. km),,,71062979,71063549,71063549,71059859,71055049,71052119,71051789,71052479,71026504,71033327,71011707,71010836.2,71009120.2,71008703.7,71009144.5,71009221.8,71005579,71005231,71004339,71001824.5,71001888.7,71001970.9,71001820.9,71001648.3,71002127.3,71005011.8,71070976.9,71070991.2,71071078.2,71071078.2,71071078.2,71071078.2
IDA & IBRD total,Land area (sq. km),,,96028573.27,96030023.27,96030023.27,95925333.27,95913600.27,95910670.27,95910340.27,95911030.27,95885055.27,95891878.27,95870608.27,95869737.47,95868021.47,95867414.97,95995297.1,95995367.85,95991891.62,95991576.57,95990459.33,95987933.75,95988640.35,95988962.26,95988673.87,95988436.63,95987709.98,96005839.14,96071736.24,96071433.23,96060596.43,96060596.43,96060596.43,96060596.43
IDA total,Land area (sq. km),,,24965594.27,24966474.27,24966474.27,24865474.27,24858551.27,24858551.27,24858551.27,24858551.27,24858551.27,24858551.27,24858901.27,24858901.27,24858901.27,24858711.27,24986152.6,24986146.05,24986312.62,24986345.57,24986120.33,24986109.25,24986751.65,24986991.36,24986852.97,24986788.33,24985582.68,25000827.34,25000759.34,25000442.03,24989518.23,24989518.23,24989518.23,24989518.23
IDA blend,Land area (sq. km),,,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4369370,4384561,4384558,4384557,4384525,4384525,4384525,4384525
Indonesia,Land area (sq. km),,,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1811570,1877519,1877519,1877519,1877519,1877519,1877519
