,e_type,e_con,e_prod,GDP,Population,ei_capita,ei_gdp,pop_growth,pop_density,Manuf_GDP,Agric_GDP,Deforestation,emission_per_cap,CO2_emission
2215,1,0.03,0.0,373.76,56134.5,25.32,3.8,2.427,56.391,63.44576,69.1941888,437.99799999999993,5.860923318102059e-05,3.29
2216,2,0.3,0.3,373.76,56134.5,25.32,3.8,2.427,56.391,63.44576,69.1941888,437.99799999999993,0.0002702437894699,15.17
2217,3,0.99,1.96,373.76,56134.5,25.32,3.8,2.427,56.391,63.44576,69.1941888,437.99799999999993,0.0011935618915283,67.0
2218,4,0.0,0.0,373.76,56134.5,25.32,3.8,2.427,56.391,63.44576,69.1941888,437.99799999999993,0.0,0.0
2219,5,0.1,0.1,373.76,56134.5,25.32,3.8,2.427,56.391,63.44576,69.1941888,437.99799999999993,0.0,0.0
2220,0,0.05,0.02,25.98,5270.07,10.18,2.06,1.327,254.347,4.8626766,4.1604372000000005,7188.803999999999,0.0004174517606028,2.2
2221,1,0.0,0.0,25.98,5270.07,10.18,2.06,1.327,254.347,4.8626766,4.1604372000000005,7188.803999999999,0.0,0.0
2222,2,0.0,0.0,25.98,5270.07,10.18,2.06,1.327,254.347,4.8626766,4.1604372000000005,7188.803999999999,0.0,0.0
2223,3,0.03,0.0,25.98,5270.07,10.18,2.06,1.327,254.347,4.8626766,4.1604372000000005,7188.803999999999,0.0004174517606028,2.2
2224,4,0.0,0.0,25.98,5270.07,10.18,2.06,1.327,254.347,4.8626766,4.1604372000000005,7188.803999999999,0.0,0.0
2225,5,0.02,0.02,25.98,5270.07,10.18,2.06,1.327,254.347,4.8626766,4.1604372000000005,7188.803999999999,0.0,0.0
2232,0,0.01,0.01,4.45,822.42,14.31,2.65,2.952,47.815,1.398279,0.3947595,4611.32,0.0008997835655747,0.74
2233,1,0.0,0.0,4.45,822.42,14.31,2.65,2.952,47.815,1.398279,0.3947595,4611.32,0.0004134140706694,0.34
2234,2,0.0,0.0,4.45,822.42,14.31,2.65,2.952,47.815,1.398279,0.3947595,4611.32,0.0,0.0
2235,3,0.01,0.0,4.45,822.42,14.31,2.65,2.952,47.815,1.398279,0.3947595,4611.32,0.0004863694949052,0.4
2236,4,0.0,0.0,4.45,822.42,14.31,2.65,2.952,47.815,1.398279,0.3947595,4611.32,0.0,0.0
2237,5,0.0,0.0,4.45,822.42,14.31,2.65,2.952,47.815,1.398279,0.3947595,4611.32,0.0,0.0
2238,0,0.05,0.01,33.55,47887.9,1.1,1.57,3.432,43.495,1.5516875,16.6042305,204081.36,6.264630522532831e-05,3.0
2239,1,0.0,0.0,33.55,47887.9,1.1,1.57,3.432,43.495,1.5516875,16.6042305,204081.36,0.0,0.0
2240,2,0.0,0.0,33.55,47887.9,1.1,1.57,3.432,43.495,1.5516875,16.6042305,204081.36,0.0,0.0
2241,3,0.04,0.0,33.55,47887.9,1.1,1.57,3.432,43.495,1.5516875,16.6042305,204081.36,6.264630522532831e-05,3.0
2242,4,0.0,0.0,33.55,47887.9,1.1,1.57,3.432,43.495,1.5516875,16.6042305,204081.36,0.0,0.0
